Geneid	AY31	AY32	AY33	AY34	AY35	AY36	AY37	AY38	AY39	AY40	AY41	AY42 	AY1	AY2	AY3	AY4	AY5	AY6	AY7	AY8	AY9	AY10	AY11	AY12
YNL001W	211	111.07	195.58	135.61	300.25	210.75	256.17	153.04	201	168.08	233	112	197.63	466.19	112.67	107.83	317.78	289.56	207.38	235.53	83	112.25	89.45	128.36
YNL317W	262.33	285.2	275	350.25	476.75	437.14	435.56	333.92	302.46	269.25	298.56	224.5	193.08	591.59	236.5	299.46	508.75	445.83	394.64	566.92	140.17	205	140.88	251.64
YNL035C	366.32	290.89	408.72	393.7	604.27	464.47	487.7	384.25	372	380.44	432.5	287.28	273.93	882.61	385.83	371.86	625.08	608	640.83	783.93	179	270.08	250.57	424.8
YNL007C	1988.73	2032	2221.5	2252.35	3630.25	2641.17	3293.35	2546.75	2550.94	2369.18	2652.84	1974.42	1175.96	2981.68	1426.58	1603.69	2848.7	2477.54	2043.77	2479.58	901.88	1486.05	1006.54	1567.5
YNL162W-A	84.17	24	64.5	36	96	99	111	115	71	80	101.67	49	36	97.08	36.58	31	119	81.5	109	99.5	26	37	44.5	81.08
YNR039C	896.42	725.42	921.5	822	1519.83	1287.42	1481.54	1234.12	1101.38	990.57	1293.38	764.67	545	1358.35	565.85	625.5	1407.78	1190.5	1232.25	1677.45	478	612	470	756
YNL103W-A	1	1	0	0	2	0	1	1.14	2	1.17	1.14	0	0	1.14	0	0.14	0	1.14	1.14	0.14	0	0.29	0	0.14
tL(CAA)N	7.09	4.89	8.65	12.86	12.52	5.64	10.31	5.77	4.24	28.48	3.78	19.07	3.27	12.05	2.68	3.71	6.18	4.76	1.6	7.39	0.93	3.62	13.83	26.56
YNL052W	342.75	361.64	460.08	463.25	757.25	810.79	679.02	653.54	450.67	407.24	452	357.25	198	620.99	301.1	310.31	524	404	648	750.5	225	239	223.07	357.06
YNL120C	0	1.67	0.33	2	3.33	4	3.33	0.33	0	1.08	0	1	1	2.58	1.25	0	3	1.33	0.33	0	1	1.33	0	0.25
YNL002C	514.12	242.11	518.03	292.25	725.46	497.58	680.92	441	472	340	481	217.08	366	924.25	155.12	179.5	593.85	570.5	494.64	633.94	182.33	256.5	159.9	275.35
YNL311C	704.83	661.54	631.67	819.35	1311.27	1314.21	1219.56	1054.96	774.56	1196.67	976.3	809.29	411	1024.41	437.92	537.37	1082.67	796.05	990.56	1201.25	280.17	381.5	389.99	626.92
YNR007C	131.42	138.07	138.6	191.13	291.16	237.79	238.08	187.92	166.14	195.62	169.43	151.96	88.25	246.12	165.67	150.65	186.78	163.3	194.97	233.51	53.04	75.22	85.06	145.95
YNL291C	652.75	482.36	584	596.62	1144.84	966.65	988.75	831.64	721	728.16	805.62	492	511.5	1220.54	489	570.27	1132.5	1073.3	1227.57	1828.14	359.62	477.48	367.12	603
YNL195C	35.06	33.37	67.25	72.29	157.17	127.62	174.93	128.06	77.5	83.85	72.52	78.92	38.27	85.96	73.75	76.08	127.22	74.6	104.4	128.72	21	40	42.12	93.6
YNL087W	1106.21	666.22	1196.78	768.28	1411.96	515.62	1309.48	433.58	1064.79	718.77	1055.3	470.55	720.12	1725.92	655.46	631.28	1108.09	1011.76	604.76	900.84	322.93	530.28	270.52	592.12
